RgSerialNO,UI,Location,ProductModel,ReceiveDate,Problem,Requisition,Solution,SolvedBy,Speciality,DeliveryDate
1487,Male,CHO,Epson Printer,03-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,03-08-25
1488,Male,CHO,Lenovo Laptop,03-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,03-08-25
1489,Male,ALP,Epson Printer,03-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,11-08-25
1490,Male,CHO,HP Printer,03-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,07-08-25
1491,Male,Safa,Acer CPU,03-08-25,Auto-Restart,No,Ready,Shajal,Monitor,05-08-25
1492,Male,Safa,Dell CPU,03-08-25,Motherboard,Yes,Servicing Issue,Sarju,CPU,05-08-25
1493,Male,CHO,Lenovo Laptop,04-08-25,New Laptop/CPU,Yes,Ready,Shuvo,Laptop,04-08-25
1494,Male,CHO,Lenovo Laptop,04-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,04-08-25
1495,Male,CHO,HP Laptop,04-08-25,Not Work,No,Ready,Sarju,CPU,04-08-25
1496,Male,CHO,Dell CPU,04-08-25,OS Problem,No,Ready,Shajal,Monitor,07-08-25
1497,Male,CHO,Lenovo Laptop,06-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,06-08-25
1498,Female,CHO,Lenovo Laptop,06-08-25,New Laptop/CPU,Yes,Ready,Shuvo,Monitor,06-08-25
1499,Male,CHO,Lenovo Laptop,06-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,06-08-25
1500,Male,CHO,Dell Laptop,06-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,06-08-25
1501,Male,CHO,HP Laptop,06-08-25,HDD,Yes,Ready,Sarju,CPU,06-08-25
1502,Male,CHO,Dell CPU,06-08-25,Motherboard,Yes,Ready,Shuvo,Laptop,06-08-25
1503,Male,CHO,HP CPU,06-08-25,OS Problem,No,Ready,Shuvo,Laptop,06-08-25
1504,Male,CHO,Acer Laptop,06-08-25,New Laptop/CPU,Yes,Ready,Shuvo,Laptop,06-08-25
1505,Male,KM,Epson Printer,06-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,09-08-25
1506,Male,CHO,Asus CPU,06-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,11-08-25
1507,Male,ACML,Acer Monitor,06-08-25,Display,Yes,Replace,Shajal,Monitor,06-08-25
1508,Male,CHO,HP Printer,06-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,07-08-25
1509,Male,ALP,Epson Printer,06-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,10-08-25
1510,Male,ALP,Projector,06-08-25,Lamp/Temp,No,Ready,Shajal,Monitor,20-08-25
1511,Male,ACCL,HP CPU,06-08-25,Not Work,No,Warranty Issue,Sarju,CPU,06-08-25
1512,Male,CHO,Dell Laptop,06-08-25,New Laptop/CPU,Yes,Ready,Shuvo,Laptop,07-08-25
1513,Male,Safa,Projector,06-08-25,Not Work,No,Servicing Issue,Shajal,Monitor,07-08-25
1514,Male,CHO,Lenovo Laptop,06-08-25,Auto-Restart,No,Ready,Sarju,CPU,07-08-25
1515,Male,CHO,Epson Printer,07-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,07-08-25
1516,Male,CHO,Canon Printer,07-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,09-08-25
1517,Male,CHO,Lenovo Laptop,07-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,07-08-25
1518,Male,CHO,Asus CPU,07-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,09-08-25
1519,Male,CHO,UPS,07-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,11-08-25
1520,Female,CHO,Epson Printer,07-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,09-08-25
1521,Male,CHO,Dell CPU,09-08-25,Slow/Hang Problem,No,Ready,Sarju,CPU,10-08-25
1522,Male,Cortz,Canon Printer,09-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,13-08-25
1523,Male,Azmeri,HP Printer,09-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,13-08-25
1524,Male,Nafa,Canon Printer,09-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,12-08-25
1525,Male,Arkay,Canon Printer,09-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,20-08-25
1526,Male,Arkay,Asus Monitor,09-08-25,Display,Yes,Replace,Sarju,Monitor,09-08-25
1527,Male,CHO,UPS,10-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,15-08-25
1528,Male,CHO,Dell CPU,10-08-25,Motherboard,Yes,Ready,Sarju,CPU,11-08-25
1529,Male,Badda Parking,HP Printer,10-08-25,Print Problem,No,Ready,Shajal,Monitor,10-08-25
1530,Male,Nafa,HP Laptop,10-08-25,Battery,Yes,Ready,Shajal,Monitor,01-09-25
1531,Male,CHO,Canon Printer,10-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,13-08-25
1532,Male,Cortz,UPS,10-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,11-08-25
1532.1,Male,CHO,Dell Laptop,11-08-25,Not Work,No,Ready,Shuvo,Laptop,12-08-25
1533,Male,CHO,Dell Laptop,11-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,12-08-25
1534,Male,CHO,Asus Laptop,11-08-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,20-08-25
1535,Male,ACML,Dell CPU,11-08-25,HDD,Yes,Ready,Sarju,CPU,24-08-25
1536,Male,ACML,HP Printer,11-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,13-08-25
1537,Male,Cortz,Canon Printer,11-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,20-08-25
1538,Male,Arkay,Dell Monitor,11-08-25,Not Work,No,Replace,Shajal,Monitor,11-08-25
1539,Male,Arkay,Dell CPU,11-08-25,Not Work,No,Servicing Issue,Sarju,CPU,25-08-25
1540,Female,CHO,Lenovo Laptop,11-08-25,OS Problem,No,Ready,Shuvo,Laptop,11-08-25
1541,Male,CHO,HP Printer,11-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,12-08-25
1542,Male,Hamza,Lenovo Laptop,12-08-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,19-08-25
1543,Male,CHO,Dell Laptop,12-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,12-08-25
1544,Male,CHO,Dell Laptop,12-08-25,Battery,Yes,Ready,Shuvo,Laptop,18-08-25
1545,Male,CHO,Lenovo Laptop,12-08-25,Slow/Hang Problem,No,Ready,Sarju,CPU,13-08-25
1546,Male,CHO,UPS,12-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,18-08-25
1547,Male,ACCL,Acer Monitor,12-08-25,Not Work,No,Replace,Sarju,Monitor,13-08-25
1548,Male,ALP,Acer Laptop,12-08-25,Motherboard,Yes,Ready,Sarju,CPU,13-08-25
1549,Male,Arkay,Asus Laptop,12-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,12-08-25
1550,Male,CHO,HP CPU,12-08-25,Auto-Restart,No,Warranty Issue,Shuvo,Laptop,18-08-25
1551,Male,KM,Acer CPU,12-08-25,OS Problem,No,Ready,Sarju,CPU,13-08-25
1552,Male,KM,Asus CPU,12-08-25,Auto-Restart,No,Ready,Shajal,Monitor,13-08-25
1553,Male,CHO,Epson Printer,13-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,16-08-25
1554,Female,CHO,HP CPU,13-08-25,Auto-Restart,No,Ready,Shajal,Monitor,13-08-25
1555,Male,CHO,HP Laptop,13-08-25,OS Problem,No,Ready,Sarju,CPU,13-08-25
1556,Male,CHO,HP Printer,13-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,17-08-25
1557,Male,CHO,UPS,13-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,20-08-25
1558,Male,CHO,Asus CPU,13-08-25,Auto-Restart,No,Ready,Sarju,CPU,14-08-25
1559,Male,Arkay,Epson Printer,13-08-25,Print Problem,No,Servicing Issue,Moshiur,Printer/UPS,18-08-25
1560,Female,Nafa,Acer Monitor,13-08-25,Not Work,No,Replace,Sarju,Monitor,14-08-25
1561,Male,ACML,Canon Printer,13-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,31-08-25
1562,Male,ACML,Epson Printer,13-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,17-08-25
1563,Male,CHO,Lenovo Laptop,14-08-25,Motherboard,Yes,Ready,Shuvo,Laptop,14-08-25
1564,Male,CHO,Lenovo Laptop,14-08-25,HDD,Yes,Ready,Shajal,Monitor,14-08-25
1565,Male,CHO,Dell CPU,14-08-25,SSD,Yes,Ready,Sarju,CPU,14-08-25
1566,Male,Cortz,Dell Laptop,14-08-25,OS Problem,No,Ready,Shuvo,Laptop,25-08-25
1567,Male,Arkay,Acer Monitor,14-08-25,Not Work,No,Replace,Sarju,Monitor,14-08-25
1568,Male,CHO,HP Printer,14-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,18-08-25
1569,Male,CHO,HP Laptop,14-08-25,OS Problem,No,Ready,Sarju,CPU,15-08-25
1570,Male,CHO,Dell Laptop,14-08-25,Not Work,No,Ready,Shajal,Monitor,14-08-25
1571,Male,CHO,HP Laptop,16-08-25,HDD,Yes,Ready,Shuvo,Laptop,16-08-25
1572,Male,ALP,HP Printer,16-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,23-08-25
1573,Male,NKK,UPS,16-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,23-08-25
1574,Male,Cortz,Canon Printer,16-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,20-08-25
1575,Male,ALP,Canon Printer,16-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,23-08-25
1576,Male,ALP,HP Printer,16-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,16-08-25
1577,Male,Nafa,Lenovo Laptop,16-08-25,Keyboard/Touchpad,No,Ready,Sarju,CPU,18-08-25
1578,Male,Nafa,UPS,16-08-25,Battery,Yes,Ready,Moshiur,Printer/UPS,16-08-25
1579,Male,CHO,Dell CPU,16-08-25,SSD,Yes,Ready,Sarju,CPU,17-08-25
1580,Male,CHO,Dell CPU,16-08-25,SSD,Yes,Ready,Sarju,CPU,17-08-25
1581,Male,CHO,Acer CPU,17-08-25,Slow/Hang Problem,No,Ready,Sarju,CPU,19-08-25
1582,Male,CHO,Acer Monitor,17-08-25,Not Work,No,Ready,Shajal,Monitor,17-08-25
1583,Male,CHO,HP CPU,17-08-25,OS Problem,No,Ready,Sarju,CPU,19-08-25
1584,Male,CHO,Lenovo Laptop,17-08-25,Auto-Restart,No,Ready,Sarju,CPU,19-08-25
1585,Male,Arkay,HP CPU,17-08-25,OS Problem,No,Ready,Sarju,CPU,18-08-25
1586,Female,CHO,Dell CPU,17-08-25,Slow/Hang Problem,No,Ready,Sarju,CPU,17-08-25
1587,Male,CHO,Dell CPU,17-08-25,Auto-Restart,No,Ready,Sarju,CPU,17-08-25
1588,Male,CHO,Dell CPU,17-08-25,Auto-Restart,No,Ready,Shuvo,Laptop,19-08-25
1589,Male,CHO,HP Laptop,17-08-25,Battery,Yes,Ready,Shajal,Monitor,18-08-25
1590,Male,Azmeri,Asus CPU,17-08-25,Motherboard,Yes,Ready,Shuvo,Laptop,20-08-25
1591,Male,Azmeri,Dell CPU,17-08-25,Motherboard,Yes,Ready,Sarju,CPU,25-08-25
1592,Male,CHO,Acer CPU,17-08-25,OS Problem,No,Ready,Shuvo,Laptop,19-08-25
1593,Male,ACCL,UPS,17-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,24-08-25
1594,Male,ACML,Epson Printer,17-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,28-08-25
1595,Male,ACML,Epson Printer,18-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,18-08-25
1596,Male,CHO,Lenovo Laptop,18-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,18-08-25
1597,Male,CHO,Lenovo Laptop,18-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,18-08-25
1598,Male,Hamza,Dell Laptop,18-08-25,OS Problem,No,Ready,Sarju,CPU,19-08-25
1599,Male,Hamza,Lenovo Monitor,18-08-25,Broken Issue,No,Replace,Shajal,Monitor,18-08-25
1600,Male,CHO,Epson Printer,18-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,19-08-25
1601,Male,CHO,Acer CPU,18-08-25,Motherboard,Yes,Ready,Shuvo,Laptop,18-08-25
1602,Male,ACCL,Dell Monitor,18-08-25,Not Work,No,Ready,Shajal,Monitor,18-08-25
1603,Male,CHO,HP Laptop,18-08-25,Broken Issue,No,Replace,Shajal,Monitor,18-08-05
1604,Female,CHO,Asus CPU,18-08-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,19-08-25
1605,Male,CHO,Epson Printer,19-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,22-08-25
1606,Female,CHO,Asus CPU,19-08-25,OS Problem,No,Ready,Sarju,CPU,19-08-25
1607,Male,CHO,HP CPU,19-08-25,OS Problem,No,Ready,Sarju,CPU,19-08-25
1608,Male,CHO,Dell CPU,19-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,20-08-25
1609,Male,CHO,Dell CPU,19-08-25,New Laptop/CPU,Yes,Ready,Shuvo,Laptop,21--8-25
1610,Female,CHO,Dell Laptop,19-08-25,SSD,Yes,Ready,Shuvo,Laptop,20-08-25
1611,Male,Arkay,HP Printer,19-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,20-08-25
1612,Male,Arkay,HP Printer,19-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,20-08-25
1613,Male,CHO,Dell Laptop,19-08-25,OS Problem,No,Ready,Shajal,Monitor,20-08-25
1614,Male,CHO,Lenovo Monitor,20-08-25,Not Work,No,Ready,Shajal,Monitor,20-08-25
1615,Male,CHO,Asus CPU,20-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,20-08-25
1616,Male,NKK,Dell CPU,20-08-25,OS Problem,No,Ready,Sarju,CPU,21-08-25
1617,Male,CHO,HP Printer,20-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,21-08-25
1618,Male,CHO,HP Laptop,20-08-25,OS Problem,No,Ready,Shuvo,Laptop,24-08-25
1619,Male,CHO,Asus CPU,20-08-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,24-08-25
1620,Male,Cortz,Dell CPU,21-08-25,HDD,Yes,Ready,Sarju,CPU,02-09-25
1621,Male,CHO,Lenovo Laptop,21-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,23-08-25
1622,Male,CHO,UPS,21-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,28-08-25
1623,Male,CHO,Epson Printer,21-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,21-08-25
1624,Male,Hamza,Dell CPU,21-08-25,Auto-Restart,No,Ready,Sarju,CPU,21-08-25
1625,Male,Hamza,Dell CPU,21-08-25,OS Problem,No,Ready,Sarju,CPU,02-09-25
1626,Male,CHO,Dell CPU,21-08-25,Slow/Hang Problem,No,Ready,Sarju,CPU,22-08-25
1627,Male,ALP,HP Laptop,21-08-25,Slow/Hang Problem,No,Ready,Sarju,CPU,25-825
1628,Male,CHO,Epson Printer,23-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,30-08-25
1629,Male,Nafa,Epson Printer,24-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,24-08-25
1630,Female,CHO,Asus Monitor,24-08-25,Not Work,No,Ready,Sarju,Monitor,24-08-25
1631,Male,CHO,Lenovo Monitor,24-08-25,Not Work,No,Ready,Shuvo,Monitor,25-08-25
1632,Male,CHO,Asus CPU,24-08-25,SSD,Yes,Ready,Sarju,CPU,25-08-25
1633,Male,CHO,Dell CPU,24-08-25,OS Problem,No,Ready,Sarju,CPU,25-08-25
1634,Male,Arkay,HP CPU,24-08-25,HDD,Yes,Ready,Sarju,CPU,01-09-25
1635,Male,CHO,HP Laptop,24-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,24-08-25
1636,Male,CHO,HP Printer,24-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,24-08-25
1637,Female,CHO,Asus CPU,24-08-25,OS Problem,No,Ready,Shajal,Monitor,25-08-25
1638,Male,AFL,Epson Printer,24-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,26-08-25
1639,Male,CHO,Epson Printer,24-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,24-08-25
1640,Male,Hamza,Dell Laptop,24-08-25,OS Problem,No,Ready,Sarju,CPU,24-08-25
1641,Male,CHO,HP Printer,24-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,24-08-25
1642,Male,Nafa,HP CPU,24-08-25,Not Work,No,Ready,Shajal,Monitor,04-08-25
1643,Male,CHO,Lenovo Laptop,24-08-25,Motherboard,Yes,Ready,Shajal,Monitor,24-08-25
1644,Male,ACCL,HP Printer,24-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,27-08-25
1645,Female,ACCL,Canon Printer,24-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,31-08-25
1646,Male,CHO,HP Printer,24-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,25-08-25
1647,Male,Safa,HP Printer,24-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,26-08-25
1648,Male,Safa,Epson Printer,24-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,27-08-25
1649,Male,ACCL,HP CPU,24-08-25,OS Problem,No,Warranty Issue,Shuvo,Laptop,25-08-05
1650,Male,Hamza,UPS,24-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,02-09-25
1651,Male,CHO,HP Laptop,25-08-25,Keyboard/Touchpad,No,Ready,Shajal,Monitor,25-08-25
1652,Male,ACML,Dell Laptop,25-08-25,Keyboard/Touchpad,No,Ready,Sarju,CPU,25-08-25
1653,Male,CHO,HP Printer,25-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,26-08-25
1654,Male,CHO,Dell Laptop,25-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,29-6-8-25
1655,Male,CHO,Lenovo Laptop,25-08-25,Motherboard,Yes,Ready,Sarju,CPU,25-08-25
1656,Male,Nafa,Acer CPU,25-08-25,Slow/Hang Problem,No,Ready,Sarju,CPU,25-08-25
1657,Male,CHO,HP Laptop,25-08-25,Not Work,No,Ready,Shajal,Monitor,25-08-25
1658,Male,ALP,Canon Printer,25-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,28-08-25
1659,Male,Cortz,Acer CPU,25-08-25,Not Work,No,Ready,Shajal,Monitor,25-08-25
1660,Male,Cortz,UPS,25-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,30-08-25
1661,Male,CHO,Epson Printer,26-08-25,Print Problem,No,Servicing Issue,Moshiur,Printer/UPS,04-09-25
1662,Male,CHO,Epson Printer,26-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,26-08-25
1663,Male,CHO,Acer CPU,26-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,28-08-25
1664,Male,CHO,Dell Laptop,26-08-25,Battery,Yes,Ready,Shajal,Monitor,31-08-25
1665,Male,CHO,Dell Laptop,26-08-25,Slow/Hang Problem,No,Ready,Moshiur,Printer/UPS,26-08-25
1666,Male,CHO,Epson Printer,26-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,30-08-25
1667,Male,CHO,Dell Laptop,27-08-25,HDD,Yes,Ready,Shajal,Monitor,30-08-25
1668,Male,CHO,Dell Laptop,27-08-25,HDD,Yes,Ready,Shajal,Monitor,30-08-25
1669,Male,CHO,Lenovo Laptop,27-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,27-08-25
1670,Male,Arkay,Dell Laptop,27-08-25,OS Problem,No,Ready,Sarju,CPU,31-08-25
1671,Male,CHO,Brother Printer,27-08-25,Color Problem,No,Ready,Moshiur,Printer/UPS,01-09-25
1672,Male,CHO,Acer Laptop,27-08-25,OS Problem,No,Ready,Shajal,Monitor,27-08-25
1673,Male,CHO,HP Laptop,27-08-25,Battery,Yes,Ready,Shuvo,Laptop,27-08-25
1674,Male,CHO,Lenovo Laptop,27-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,28-08-25
1675,Male,CHO,Acer Monitor,27-08-25,Display,Yes,Replace,Shajal,Monitor,27-08-25
1676,Male,CHO,Canon Printer,27-08-25,Print Problem,No,Ready,Moshiur,Printer/UPS,28-08-25
1677,Male,CHO,Lenovo CPU,27-08-25,New Laptop/CPU,Yes,Ready,Shuvo,Laptop,28-08-25
1678,Male,CHO,HP Laptop,27-08-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,27-08-25
1679,Male,CHO,HP Laptop,27-08-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,27-08-25
1680,Male,CHO,Lenovo CPU,27-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,27-08-25
1681,Male,AFL,Epson Printer,28-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,04-09-25
1682,Male,ALP,Epson Printer,28-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,04-09-25
1683,Male,CHO,HP Laptop,28-08-25,Slow/Hang Problem,No,Ready,Shajal,Monitor,28-08-25
1684,Male,CHO,Acer CPU,28-08-25,New Laptop/CPU,Yes,Ready,Shajal,Monitor,29-08-25
1685,Male,CHO,Acer Laptop,30-08-25,SSD,Yes,Ready,Shuvo,Laptop,01-09-25
1686,Male,Nafa,Acer Monitor,30-08-25,Display,Yes,Replace,Shajal,Monitor,30-08-25
1687,Male,Nafa,UPS,30-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,01-09-25
1688,Male,Nafa,UPS,30-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,01-09-25
1689,Male,Arkay,HP Laptop,31-08-25,New Laptop/CPU,Yes,Ready,Sarju,CPU,31-08-25
1690,Male,CHO,Dell Laptop,31-08-25,Display,No,Ready,Shajal,Monitor,31-08-25
1691,Male,CHO,Lenovo Laptop,31-08-25,OS Problem,No,Ready,Shuvo,Laptop,01-09-25
1692,Male,Safa,Acer CPU,31-08-25,Auto-Restart,No,Ready,Shajal,Monitor,01-09-25
1693,Male,Safa,Acer Monitor,31-08-25,Not Work,No,Replace,Sarju,CPU,31-08-25
1694,Male,Safa,Canon Printer,31-08-25,Not Work,No,Ready,Moshiur,Printer/UPS,04-09-25
1695,Male,CHO,HP CPU,31-08-25,HDD,Yes,Ready,Shajal,Monitor,03-09-25
